,datetime,cellid,value
148,2024-05-14 14:30:00,2,180.31
149,2024-05-14 14:30:00,3,127.96
150,2024-05-14 14:45:00,1001,0.0
151,2024-05-14 14:45:00,1002,0.0
152,2024-05-14 14:45:00,1003,41.88
153,2024-05-14 14:45:00,1,130.47
154,2024-05-14 14:45:00,2,121.88
155,2024-05-14 14:45:00,3,62.57
156,2024-05-14 14:30:00,1001,0.0
157,2024-05-14 14:30:00,1002,0.0
158,2024-05-14 14:30:00,1003,0.0
159,2024-05-14 14:30:00,1,144.42
160,2024-05-14 14:30:00,2,180.31
161,2024-05-14 14:30:00,3,127.96
162,2024-05-14 14:45:00,1001,0.0
163,2024-05-14 14:45:00,1002,0.0
164,2024-05-14 14:45:00,1003,41.88
165,2024-05-14 14:45:00,1,130.47
166,2024-05-14 14:45:00,2,121.88
167,2024-05-14 14:45:00,3,62.57
168,2024-05-14 14:30:00,1001,0.0
169,2024-05-14 14:30:00,1002,0.0
170,2024-05-14 14:30:00,1003,0.0
171,2024-05-14 14:30:00,1,144.42
172,2024-05-14 14:30:00,2,180.31
173,2024-05-14 14:30:00,3,127.96
174,2024-05-14 14:45:00,1001,0.0
175,2024-05-14 14:45:00,1002,0.0
176,2024-05-14 14:45:00,1003,41.88
177,2024-05-14 14:45:00,1,130.47
178,2024-05-14 14:45:00,2,121.88
179,2024-05-14 14:45:00,3,62.57
180,2024-05-14 14:30:00,1001,0.0
181,2024-05-14 14:30:00,1002,0.0
182,2024-05-14 14:30:00,1003,0.0
183,2024-05-14 14:30:00,1,144.42
184,2024-05-14 14:30:00,2,180.31
185,2024-05-14 14:30:00,3,127.96
186,2024-05-14 14:45:00,1001,0.0
187,2024-05-14 14:45:00,1002,0.0
188,2024-05-14 14:45:00,1003,41.88
189,2024-05-14 14:45:00,1,130.47
190,2024-05-14 14:45:00,2,121.88
191,2024-05-14 14:45:00,3,62.57
192,2024-05-14 14:30:00,1001,0.0
193,2024-05-14 14:30:00,1002,0.0
194,2024-05-14 14:30:00,1003,0.0
195,2024-05-14 14:30:00,1,144.42
196,2024-05-14 14:30:00,2,180.31
197,2024-05-14 14:30:00,3,127.96
198,2024-05-14 14:45:00,1001,0.0
199,2024-05-14 14:45:00,1002,0.0
200,2024-05-14 14:45:00,1003,41.88
201,2024-05-14 14:45:00,1,130.47
202,2024-05-14 14:45:00,2,121.88
203,2024-05-14 14:45:00,3,62.57
204,2024-05-14 14:30:00,1001,0.0
205,2024-05-14 14:30:00,1002,0.0
206,2024-05-14 14:30:00,1003,0.0
207,2024-05-14 14:30:00,1,144.42
208,2024-05-14 14:30:00,2,180.31
209,2024-05-14 14:30:00,3,127.96
210,2024-05-14 14:45:00,1001,0.0
211,2024-05-14 14:45:00,1002,0.0
212,2024-05-14 14:45:00,1003,41.88
213,2024-05-14 14:45:00,1,130.47
214,2024-05-14 14:45:00,2,121.88
215,2024-05-14 14:45:00,3,62.57
216,2024-05-14 14:30:00,1001,0.0
217,2024-05-14 14:30:00,1002,0.0
218,2024-05-14 14:30:00,1003,0.0
219,2024-05-14 14:30:00,1,144.42
220,2024-05-14 14:30:00,2,180.31
221,2024-05-14 14:30:00,3,127.96
222,2024-05-14 14:45:00,1001,0.0
223,2024-05-14 14:45:00,1002,0.0
224,2024-05-14 14:45:00,1003,41.88
225,2024-05-14 14:45:00,1,130.47
226,2024-05-14 14:45:00,2,121.88
227,2024-05-14 14:45:00,3,62.57
228,2024-05-14 14:30:00,1001,0.0
229,2024-05-14 14:30:00,1002,0.0
230,2024-05-14 14:30:00,1003,0.0
231,2024-05-14 14:30:00,1,144.42
232,2024-05-14 14:30:00,2,180.31
233,2024-05-14 14:30:00,3,127.96
234,2024-05-14 14:45:00,1001,0.0
235,2024-05-14 14:45:00,1002,0.0
236,2024-05-14 14:45:00,1003,41.88
237,2024-05-14 14:45:00,1,130.47
238,2024-05-14 14:45:00,2,121.88
239,2024-05-14 14:45:00,3,62.57
240,2024-05-14 14:30:00,1001,0.0
241,2024-05-14 14:30:00,1002,0.0
242,2024-05-14 14:30:00,1003,0.0
243,2024-05-14 14:30:00,1,144.42
244,2024-05-14 14:30:00,2,180.31
245,2024-05-14 14:30:00,3,127.96
246,2024-05-14 14:45:00,1001,0.0
247,2024-05-14 14:45:00,1002,0.0
248,2024-05-14 14:45:00,1003,41.88
249,2024-05-14 14:45:00,1,130.47
250,2024-05-14 14:45:00,2,121.88
251,2024-05-14 14:45:00,3,62.57
252,2024-05-14 14:30:00,1001,0.0
253,2024-05-14 14:30:00,1002,0.0
254,2024-05-14 14:30:00,1003,0.0
255,2024-05-14 14:30:00,1,144.42
256,2024-05-14 14:30:00,2,180.31
257,2024-05-14 14:30:00,3,127.96
258,2024-05-14 14:45:00,1001,0.0
259,2024-05-14 14:45:00,1002,0.0
260,2024-05-14 14:45:00,1003,41.88
261,2024-05-14 14:45:00,1,130.47
262,2024-05-14 14:45:00,2,121.88
263,2024-05-14 14:45:00,3,62.57
264,2024-05-14 14:30:00,1001,0.0
265,2024-05-14 14:30:00,1002,0.0
266,2024-05-14 14:30:00,1003,0.0
267,2024-05-14 14:30:00,1,144.42
268,2024-05-14 14:30:00,2,180.31
269,2024-05-14 14:30:00,3,127.96
270,2024-05-14 14:45:00,1001,0.0
271,2024-05-14 14:45:00,1002,0.0
272,2024-05-14 14:45:00,1003,41.88
273,2024-05-14 14:45:00,1,130.47
274,2024-05-14 14:45:00,2,121.88
275,2024-05-14 14:45:00,3,62.57
276,2024-05-14 14:30:00,1001,0.0
277,2024-05-14 14:30:00,1002,0.0
278,2024-05-14 14:30:00,1003,0.0
279,2024-05-14 14:30:00,1,144.42
280,2024-05-14 14:30:00,2,180.31
281,2024-05-14 14:30:00,3,127.96
282,2024-05-14 14:45:00,1001,0.0
283,2024-05-14 14:45:00,1002,0.0
284,2024-05-14 14:45:00,1003,41.88
285,2024-05-14 14:45:00,1,130.47
286,2024-05-14 14:45:00,2,121.88
287,2024-05-14 14:45:00,3,62.57
288,2024-05-14 14:30:00,1001,0.0
289,2024-05-14 14:30:00,1002,0.0
290,2024-05-14 14:30:00,1003,0.0
291,2024-05-14 14:30:00,1,144.42
292,2024-05-14 14:30:00,2,180.31
293,2024-05-14 14:30:00,3,127.96
294,2024-05-14 14:45:00,1001,0.0
295,2024-05-14 14:45:00,1002,0.0
296,2024-05-14 14:45:00,1003,41.88
297,2024-05-14 14:45:00,1,130.47
298,2024-05-14 14:45:00,2,121.88
299,2024-05-14 14:45:00,3,62.57
300,2024-05-14 14:30:00,1001,0.0
301,2024-05-14 14:30:00,1002,0.0
302,2024-05-14 14:30:00,1003,0.0
303,2024-05-14 14:30:00,1,144.42
